Name,Gender,Experience,Degree,Overseas,GPA,country,continent,Lat,Lon
Magan Kruse  ,Female,0.5,Medicine,1,3.09,Bulgaria,Europe,9.0243,38.7492
Demetria Crooker  ,Female,4.5,Medicine,1,3.65,Scotland,Europe,38.6319,-122.8971
Louis Moorhead  ,Male,4,Medicine,1,3.82,South Africa,Africa,40.7143,-74.006
Lorenzo Farley  ,Male,0,Medicine,1,3.67,Kyrgyzstan,Asia,58.4667,-6.2833
Maryjane Degroat  ,Female,3,Mathematics,0,3.66,Bahrain,Asia,41.3984,2.1741
Shantel Bade  ,Female,6.5,Engineering,1,3.89,Russia,Asia,9.0243,38.7492
Roseanna Coles  ,Female,1,Medicine,0,3.54,Russia,Asia,38.6319,-122.8971
Shelly Dimas  ,Female,5,Marketing,1,3.35,China,Asia,40.7143,-74.006
Warner Yohn  ,Male,1.5,Finance,1,3.36,Tuvalu,Oceania,58.4667,-6.2833
Alonzo Mcneely  ,Male,5,Accounting,1,3.53,Bahamas,America,41.3984,2.1741
Karol Sussman  ,Female,7,Mathematics,1,3.25,Belarus,Europe,41.3984,2.1741
Deane Defenbaugh  ,Female,1.5,Data Science,1,3.47,Venezuela,America,-33.9333,18.5822
Nicolas Hinton  ,Male,2,Engineering,1,3.07,Tuvalu,Oceania,32.0667,34.7667
Shira Romberger  ,Female,1,Engineering,0,3.12,Bahamas,America,9.0243,38.7492
Kenton Maney  ,Male,0.5,Engineering,0,3.82,Belarus,Europe,38.6319,-122.8971
Khalilah Schug  ,Female,1,Marketing,0,3.41,Venezuela,America,40.7143,-74.006
Niesha Bolten  ,Female,4.5,Finance,1,3.38,Tuvalu,Oceania,58.4667,-6.2833
Dedra Pou  ,Female,2,Engineering,1,3.72,Bahamas,America,41.3984,2.1741
Catherine Tardugno  ,Female,6,Medicine,1,3.8,Belarus,Europe,37.7749,-122.4194
Elisabeth Tyner  ,Female,3,Marketing,1,3.09,Venezuela,America,-17.9333,25.8333
Nena Burdo  ,Female,1.5,Finance,1,3.94,Tuvalu,Oceania,31.6333,-8
Jolyn Mullikin  ,Female,3.5,Medicine,1,3.35,Bahamas,America,-33.9333,18.5822
Karena Styons  ,Female,5,Marketing,1,3.28,Belarus,Europe,32.0667,34.7667
Rudolph Lovett  ,Male,2,Finance,1,3.82,Venezuela,America,-33.9333,18.5822
Christene Legg  ,Female,3,Finance,0,3.39,Tuvalu,Oceania,32.0667,34.7667
Arnette Bartol  ,Female,5.5,Engineering,0,3.14,Bahamas,America,-33.9333,18.5822
Sheree Moronta  ,Female,4.5,Mathematics,0,3.34,Belarus,Europe,32.0667,34.7667
Letisha Brendle  ,Female,2,Data Science,0,3.28,Venezuela,America,-33.9333,18.5822
Carina Sessler  ,Female,1,Finance,0,3.13,Tuvalu,Oceania,32.0667,34.7667
Janay Belding  ,Female,3,Engineering,1,3.7,Bahamas,America,37.7749,-122.4194
Tamra Lingo  ,Female,2,Engineering,0,3.98,Belarus,Europe,37.7749,-122.4194
Todd Partlow  ,Male,5.5,Engineering,1,3.16,Venezuela,America,37.7749,-122.4194
Jenna Keeler,Female,1,Mathematics,1,3.76,Tuvalu,Oceania,37.7749,-122.4194
Patty Pitter,Female,0,Data Science,1,3.3,Bahamas,America,37.7749,-122.4194
Denis Oliveros,Male,4.5,Mathematics,1,3.47,Belarus,Europe,37.7749,-122.4194
Lynelle Kinard,Female,7,Data Science,1,3.3,Venezuela,America,37.7749,-122.4194
Vella Delvalle,Female,0.5,Mathematics,1,3.04,Tuvalu,Oceania,37.7749,-122.4194
Jung Line,Female,3.5,Data Science,0,3.31,Bahamas,America,37.7749,-122.4194
Yesenia Palmeri,Female,3.5,Medicine,0,3.19,Belarus,Europe,9.0243,38.7492
Merlyn Laberge,Female,4.5,Medicine,0,3.33,Venezuela,America,38.6319,-122.8971
Lorenza Marquez,Female,5.5,Medicine,1,3.09,Tuvalu,Oceania,40.7143,-74.006
Alfredia Banuelos,Female,3.5,Medicine,1,3.99,Bahamas,America,58.4667,-6.2833
Casandra Cournoyer,Female,1,Medicine,1,3.58,Belarus,Europe,41.3984,2.1741
Myrtis Fritch,Female,1.5,Medicine,1,3.64,Venezuela,America,9.0243,38.7492
Annika Lang,Female,7.5,Medicine,1,3.31,Tuvalu,Oceania,38.6319,-122.8971
Georgiann Severt,Female,0.5,Mathematics,1,3.27,Bahamas,America,40.7143,-74.006
Forrest Sabo,Male,6,Engineering,1,3.78,Belarus,Europe,58.4667,-6.2833
Kareen Nakata,Female,6.5,Medicine,1,3,Venezuela,America,41.3984,2.1741
Shantell Broadway,Female,5.5,Marketing,0,3.17,Tuvalu,Oceania,9.0243,38.7492
Latosha Cramer,Female,5,Finance,0,3.24,Bahamas,America,38.6319,-122.8971
Isabell Starkweather,Female,6,Accounting,0,3.84,Belarus,Europe,40.7143,-74.006
Julienne Vanderpol,Female,2,Mathematics,1,3.11,Venezuela,America,58.4667,-6.2833
Silvana Oberle,Female,1.5,Data Science,1,3.13,Tuvalu,Oceania,41.3984,2.1741
Rosetta Gerst,Female,5.5,Engineering,0,3.9,Bahamas,America,41.3984,2.1741
Donette Vazques,Female,7,Engineering,0,3.86,Belarus,Europe,-33.9333,18.5822
Felisa Olmsted,Female,4,Engineering,1,3.91,Venezuela,America,32.0667,34.7667
See Wilkenson,Female,7,Marketing,1,3.32,Venezuela,America,9.0243,38.7492
Leila Bridgeforth,Female,5.5,Finance,0,3.09,Tuvalu,Oceania,38.6319,-122.8971
Gerard Huynh,Male,7,Engineering,0,3.07,Bahamas,America,40.7143,-74.006
Caridad Lemley,Female,5.5,Medicine,1,3.86,Belarus,Europe,58.4667,-6.2833
Anton Lichty,Male,6.5,Marketing,1,3.54,Venezuela,America,41.3984,2.1741
Theo Senko,Male,1.5,Finance,0,3.31,Tuvalu,Oceania,37.7749,-122.4194
Noriko Masten,Female,6,Medicine,0,3.42,Bahamas,America,-17.9333,25.8333
Dorthey Matthew,Female,4,Marketing,1,3.39,Belarus,Europe,31.6333,-8
Verline Ospina,Female,4.5,Finance,1,3.03,Venezuela,America,-33.9333,18.5822
Marivel Fickes,Female,0,Finance,0,3.86,Tuvalu,Oceania,32.0667,34.7667
Freida Hellen,Female,1,Engineering,0,3.86,Bahamas,America,-33.9333,18.5822
Angelyn Brassfield,Female,3.5,Mathematics,1,3.85,Belarus,Europe,32.0667,34.7667
Nigel Speller,Male,1,Data Science,1,3.91,Venezuela,America,-33.9333,18.5822
Garnett Frum,Female,6,Finance,0,3.45,Venezuela,America,32.0667,34.7667
Veola Carlberg,Female,6,Engineering,0,3.79,Tuvalu,Oceania,-33.9333,18.5822
Margit Ulm,Female,0,Engineering,1,3.62,Bahamas,America,32.0667,34.7667
Micki Glad,Female,7,Engineering,1,3.4,Belarus,Europe,37.7749,-122.4194
Larry Porto,Male,4.5,Mathematics,0,3.51,Venezuela,America,37.7749,-122.4194
Francisco Cogley,Male,4,Data Science,1,3.25,Tuvalu,Oceania,37.7749,-122.4194
Olen Pearcy,Male,2.5,Mathematics,1,3.52,Bahamas,America,37.7749,-122.4194
Orpha Wines,Female,6,Data Science,1,3.49,Belarus,Europe,37.7749,-122.4194
Fatimah Venema,Female,4,Mathematics,0,3.45,Venezuela,America,37.7749,-122.4194
Alden Grimm,Male,3.5,Data Science,0,3.64,Tuvalu,Oceania,37.7749,-122.4194
Collette Rister,Female,5.5,Medicine,1,3.62,Bahamas,America,37.7749,-122.4194
Carita Sattler,Female,1.5,Medicine,0,3.99,Belarus,Europe,37.7749,-122.4194
Babette Grover,Female,5,Accounting,1,3.8,Venezuela,America,32.0667,34.7667
